dataset_version,generator_version,split,case_origin,artifact_origin,semantic_case_id,document_id,template_id,condition,perturbation_id,dpi,renderer,rotation_degrees,blur_radius,contrast_factor,jpeg_quality,source_row_sha256,source_text_path,ground_truth_path,pdf_path,image_path,pdf_sha256,image_sha256
pilot-v4,4.0.0,development,v3_exposed_development,v3_byte_identical_regeneration,MEL-104,MEL-104-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,7aedfceddde362fe76fd29e86c75f078962d7e144a60404254490b9ae84bb91a,data/v4/source_text/MEL-104-A.txt,data/v4/ground_truth/MEL-104-A.json,output/v4/pdf/clean/MEL-104-A.pdf,output/v4/rendered/clean/MEL-104-A.png,5bc267519bcb250d6c0e6591e418bc080037164dbaf8716d0b30f8215a4c843d,83543fe163c41d8d3f7ab2e4d52af9e9b38a7fb9fddcbea742516b9cd2c8bf7b
pilot-v4,4.0.0,development,v3_exposed_development,v3_byte_identical_regeneration,MEL-104,MEL-104-A,A,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,0.644,0.674,0.861,69,7aedfceddde362fe76fd29e86c75f078962d7e144a60404254490b9ae84bb91a,data/v4/source_text/MEL-104-A.txt,data/v4/ground_truth/MEL-104-A.json,output/v4/pdf/ocr_degraded/MEL-104-A.pdf,output/v4/rendered/ocr_degraded/MEL-104-A.png,8970d1ef8d1d864542a317ce49d81f5029d427fe0f645c3cc8adc46675a6ffdd,e75ca0796ad6691b524a922248610ddfc5fe1e537206368b6b72a5dd825581c9
pilot-v4,4.0.0,development,v3_exposed_development,v3_byte_identical_regeneration,MEL-104,MEL-104-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,7aedfceddde362fe76fd29e86c75f078962d7e144a60404254490b9ae84bb91a,data/v4/source_text/MEL-104-B.txt,data/v4/ground_truth/MEL-104-B.json,output/v4/pdf/clean/MEL-104-B.pdf,output/v4/rendered/clean/MEL-104-B.png,b8d03647a0dc6ad3c92afe91c9a44e2dd719410776520b8b74f99ed9e2897c5a,f99377e51ffc289ca3e62fdc0b8a9e29b1518bbbf76e4ae8ad7ca9ec43b9f43b
pilot-v4,4.0.0,development,v3_exposed_development,v3_byte_identical_regeneration,MEL-104,MEL-104-B,B,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,0.466,0.597,0.84,62,7aedfceddde362fe76fd29e86c75f078962d7e144a60404254490b9ae84bb91a,data/v4/source_text/MEL-104-B.txt,data/v4/ground_truth/MEL-104-B.json,output/v4/pdf/ocr_degraded/MEL-104-B.pdf,output/v4/rendered/ocr_degraded/MEL-104-B.png,275a596a00e4681c8fafada155558535cd74040dbd1acac246e3053ce4524f2e,6adb6c76774c9964df99c7ad9134b5c2aef9c79bcf417188d5c854644177d16f
pilot-v4,4.0.0,formal,v3_unexecuted_formal,v3_byte_identical_regeneration,MEL-105,MEL-105-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,d62bc917af990276e0c8eaa3ef813f30f386616d1a659d9d8768a3f006ba0d70,data/v4/source_text/MEL-105-A.txt,data/v4/ground_truth/MEL-105-A.json,output/v4/pdf/clean/MEL-105-A.pdf,output/v4/rendered/clean/MEL-105-A.png,b0d1dd6c6be60e3750e9c64c77999076ac542d6d3e9c1ae4ef3126a9ef89ee89,3ce35a3a319ffb79b8baeb48593cdc5764fe26215a1e5a9ca093d2e2210dc0b3
pilot-v4,4.0.0,formal,v3_unexecuted_formal,v3_byte_identical_regeneration,MEL-105,MEL-105-A,A,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,-0.457,0.563,0.874,70,d62bc917af990276e0c8eaa3ef813f30f386616d1a659d9d8768a3f006ba0d70,data/v4/source_text/MEL-105-A.txt,data/v4/ground_truth/MEL-105-A.json,output/v4/pdf/ocr_degraded/MEL-105-A.pdf,output/v4/rendered/ocr_degraded/MEL-105-A.png,3500b905233e69b8c3e2b3828ef6cb1306708aea0be1870d671f9d7cac845918,26290e00fa9b3eb7994aa87aaace67f899b7ddbbc8befce39578e59c94765998
pilot-v4,4.0.0,formal,v3_unexecuted_formal,v3_byte_identical_regeneration,MEL-105,MEL-105-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,d62bc917af990276e0c8eaa3ef813f30f386616d1a659d9d8768a3f006ba0d70,data/v4/source_text/MEL-105-B.txt,data/v4/ground_truth/MEL-105-B.json,output/v4/pdf/clean/MEL-105-B.pdf,output/v4/rendered/clean/MEL-105-B.png,d537578a60c69712ea098f26e5d160e872b14a58260002b476f1a98e7316e25a,5b60f8070d70f93046da437794629a31e19c519081c991a409cba2cbf55b2459
pilot-v4,4.0.0,formal,v3_unexecuted_formal,v3_byte_identical_regeneration,MEL-105,MEL-105-B,B,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,0.506,0.588,0.846,60,d62bc917af990276e0c8eaa3ef813f30f386616d1a659d9d8768a3f006ba0d70,data/v4/source_text/MEL-105-B.txt,data/v4/ground_truth/MEL-105-B.json,output/v4/pdf/ocr_degraded/MEL-105-B.pdf,output/v4/rendered/ocr_degraded/MEL-105-B.png,8b34b3028e1bb5b45c070ffaeb2aaf3284ea876b9c0e08e65e17a6f3cfe59919,c4ebd078012ef9c105b78323a55856afcf20d1b9d8aa1eefe78ab59ece356b94
pilot-v4,4.0.0,formal,v3_unexecuted_formal,v3_byte_identical_regeneration,MEL-106,MEL-106-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,296d4de954a3ad3daec436cf6220096d321a2cb9f37e5f53a9d6debc20c967d2,data/v4/source_text/MEL-106-A.txt,data/v4/ground_truth/MEL-106-A.json,output/v4/pdf/clean/MEL-106-A.pdf,output/v4/rendered/clean/MEL-106-A.png,a9022f28b09b016395343b9dee346b56089cf7be834d21870f779bd361c89268,347944ecb0b5c08bdf821df8ce565419e3d061efc5e79040f338261e0e11c643
pilot-v4,4.0.0,formal,v3_unexecuted_formal,v3_byte_identical_regeneration,MEL-106,MEL-106-A,A,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,-0.618,0.744,0.876,58,296d4de954a3ad3daec436cf6220096d321a2cb9f37e5f53a9d6debc20c967d2,data/v4/source_text/MEL-106-A.txt,data/v4/ground_truth/MEL-106-A.json,output/v4/pdf/ocr_degraded/MEL-106-A.pdf,output/v4/rendered/ocr_degraded/MEL-106-A.png,d83218e87d55e3998c23812f5e5b1b743d9f646ed432bd06c0f0846d1b4afbd9,6a9289fa0d7c13934b542272ce034a3a375ae0ca88bf6354c118d30abcd48c39
pilot-v4,4.0.0,formal,v3_unexecuted_formal,v3_byte_identical_regeneration,MEL-106,MEL-106-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,296d4de954a3ad3daec436cf6220096d321a2cb9f37e5f53a9d6debc20c967d2,data/v4/source_text/MEL-106-B.txt,data/v4/ground_truth/MEL-106-B.json,output/v4/pdf/clean/MEL-106-B.pdf,output/v4/rendered/clean/MEL-106-B.png,0af09804dbc3161d28dd711b5bad3cdafb7e480c5d91b7caa52fd26a7d394c82,4c762558f9e47887a796624a932787ba1e104866afad2c2ab891e87955b0480c
pilot-v4,4.0.0,formal,v3_unexecuted_formal,v3_byte_identical_regeneration,MEL-106,MEL-106-B,B,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,0.462,0.635,0.836,69,296d4de954a3ad3daec436cf6220096d321a2cb9f37e5f53a9d6debc20c967d2,data/v4/source_text/MEL-106-B.txt,data/v4/ground_truth/MEL-106-B.json,output/v4/pdf/ocr_degraded/MEL-106-B.pdf,output/v4/rendered/ocr_degraded/MEL-106-B.png,8130116a9f492f589d8450de9311ec560c12588c0c572e64a03bb49179a0f2ce,7a97a5c1cdffba58cdaa3d4b40baf7a2e7ce49a260f2de8417067491637126b3
pilot-v4,4.0.0,formal,v3_unexecuted_formal,v3_byte_identical_regeneration,MEL-107,MEL-107-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,8c388fba91d33bd3ccc68eda16adc86b6e297eb312eb28355f725f926a26d738,data/v4/source_text/MEL-107-A.txt,data/v4/ground_truth/MEL-107-A.json,output/v4/pdf/clean/MEL-107-A.pdf,output/v4/rendered/clean/MEL-107-A.png,23f996830c54d196485f764b9126056f27f83cc07b6a9d418e9d3676c30896cd,74e5d8f9a85683994b2d120cce99bb703c9df390bd11752822b50cf00e062cc9
