dataset_version,generator_version,split,semantic_case_id,document_id,template_id,condition,perturbation_id,dpi,renderer,rotation_degrees,blur_radius,contrast_factor,jpeg_quality,source_row_sha256,source_text_path,ground_truth_path,pdf_path,image_path,pdf_sha256,image_sha256
pilot-v3,3.0.0,development,MEL-101,MEL-101-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,c29179c1635fc0de1a6c688d367c285105905c25b280f8c955500a7a036cc9e8,data/v3/source_text/MEL-101-A.txt,data/v3/ground_truth/MEL-101-A.json,output/v3/pdf/clean/MEL-101-A.pdf,output/v3/rendered/clean/MEL-101-A.png,eb37043034f5a141a8ab03753658e09eb55e0a0a10e04c62d633c80ff9def7a2,d4a5253d4193c28008086e2e111f0799e7298dfc8f1752c792ba0e9f82cc7b89
pilot-v3,3.0.0,development,MEL-101,MEL-101-A,A,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,0.446,0.691,0.827,72,c29179c1635fc0de1a6c688d367c285105905c25b280f8c955500a7a036cc9e8,data/v3/source_text/MEL-101-A.txt,data/v3/ground_truth/MEL-101-A.json,output/v3/pdf/ocr_degraded/MEL-101-A.pdf,output/v3/rendered/ocr_degraded/MEL-101-A.png,efc0613194c7edba912e278b6bf0b2a225d2b7e110051ec66ac791058b031c67,62e6447504263fe99a8365479dbbb5a527244e0687e1f07b1b26e2a2c6129db8
pilot-v3,3.0.0,development,MEL-101,MEL-101-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,c29179c1635fc0de1a6c688d367c285105905c25b280f8c955500a7a036cc9e8,data/v3/source_text/MEL-101-B.txt,data/v3/ground_truth/MEL-101-B.json,output/v3/pdf/clean/MEL-101-B.pdf,output/v3/rendered/clean/MEL-101-B.png,7e083c12f916742beab82798f8196f852e81324237093012ee03ffb07d0ef5b0,6d33db0ea41d30e476301a42da04e3dca420e106da4b02b410ad424bfebe7faf
pilot-v3,3.0.0,development,MEL-101,MEL-101-B,B,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,-0.512,0.644,0.828,64,c29179c1635fc0de1a6c688d367c285105905c25b280f8c955500a7a036cc9e8,data/v3/source_text/MEL-101-B.txt,data/v3/ground_truth/MEL-101-B.json,output/v3/pdf/ocr_degraded/MEL-101-B.pdf,output/v3/rendered/ocr_degraded/MEL-101-B.png,f9adc9b97eb25e9f79a09303a283139e164d8bd4e5e99e86ddfcd82bc6552f1d,ba48adefb3b1820d2bc99496689f6fe7f5e11deec29f5746cd4c5a301d5ce2b2
pilot-v3,3.0.0,development,MEL-102,MEL-102-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,091ea9584aa980ae27c23d2eac6f253a06197581380c86e740f975b63991b018,data/v3/source_text/MEL-102-A.txt,data/v3/ground_truth/MEL-102-A.json,output/v3/pdf/clean/MEL-102-A.pdf,output/v3/rendered/clean/MEL-102-A.png,a017c032e358e927e3ac91e43d52697d41f72b5447cac5ec4c6926dbfa55c527,b1453fd912bbf5da3a2a814e27c8b66a3e1d3d704cc6de17d4f1c1507995769f
pilot-v3,3.0.0,development,MEL-102,MEL-102-A,A,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,0.479,0.809,0.859,68,091ea9584aa980ae27c23d2eac6f253a06197581380c86e740f975b63991b018,data/v3/source_text/MEL-102-A.txt,data/v3/ground_truth/MEL-102-A.json,output/v3/pdf/ocr_degraded/MEL-102-A.pdf,output/v3/rendered/ocr_degraded/MEL-102-A.png,32deb3893423fbe7d4f6ced9ab719096e2961a01009c2e8430521f179df89179,0cff9125df19f489e7e6583b3e9ef7d0d8f4c7f807e32122ed7c2d4768f48c66
pilot-v3,3.0.0,development,MEL-102,MEL-102-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,091ea9584aa980ae27c23d2eac6f253a06197581380c86e740f975b63991b018,data/v3/source_text/MEL-102-B.txt,data/v3/ground_truth/MEL-102-B.json,output/v3/pdf/clean/MEL-102-B.pdf,output/v3/rendered/clean/MEL-102-B.png,1273feeaa18b79f972e71272d88ed9dcd0e7163bccb010af4fc1e7f0aeeada16,ed10b9060aa288ef49492335b18049bb6b4c850ebf0a4f06100c1a172bbc5bdb
pilot-v3,3.0.0,development,MEL-102,MEL-102-B,B,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,0.562,0.623,0.847,62,091ea9584aa980ae27c23d2eac6f253a06197581380c86e740f975b63991b018,data/v3/source_text/MEL-102-B.txt,data/v3/ground_truth/MEL-102-B.json,output/v3/pdf/ocr_degraded/MEL-102-B.pdf,output/v3/rendered/ocr_degraded/MEL-102-B.png,32fb96506867e349758f736773bf957aac45f873c2019fc1dd398ad4c5521014,8923774870dd4ef530f79c9a0cdc5175d6bc3742ecd69db39d876191ba1182e1
pilot-v3,3.0.0,development,MEL-103,MEL-103-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,8199e83a2a3d3b23f5b0f25c8667f2b43dc393c26e73ad1fd5f25e213953a6f8,data/v3/source_text/MEL-103-A.txt,data/v3/ground_truth/MEL-103-A.json,output/v3/pdf/clean/MEL-103-A.pdf,output/v3/rendered/clean/MEL-103-A.png,7076fc8135eaa660e7618cf19bec0dbd42e67457881f70dcae42bd3ada72d739,7d31ae5ca1ecb3e901a0e5f0bf97646b63c37ad48f082a3c8a467d86536821c2
pilot-v3,3.0.0,development,MEL-103,MEL-103-A,A,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,-0.426,0.772,0.849,64,8199e83a2a3d3b23f5b0f25c8667f2b43dc393c26e73ad1fd5f25e213953a6f8,data/v3/source_text/MEL-103-A.txt,data/v3/ground_truth/MEL-103-A.json,output/v3/pdf/ocr_degraded/MEL-103-A.pdf,output/v3/rendered/ocr_degraded/MEL-103-A.png,27d2fc19e87a109ae30d2b83833529370d54d8a871a8228e02f94da9898b5c17,f0eb3ee7b6d476738cd45a4b27286632813e5cfbd6685cfdb6752175bb5a61a4
pilot-v3,3.0.0,development,MEL-103,MEL-103-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,8199e83a2a3d3b23f5b0f25c8667f2b43dc393c26e73ad1fd5f25e213953a6f8,data/v3/source_text/MEL-103-B.txt,data/v3/ground_truth/MEL-103-B.json,output/v3/pdf/clean/MEL-103-B.pdf,output/v3/rendered/clean/MEL-103-B.png,cc7f3d010f0b8852f24881a29392b1de5c8d88cdc65c38acd70d5f0b98756d9b,d57d511890686168808445909841109f7ecf9bdfdd0b53f47ccbf1b68542c7ea
pilot-v3,3.0.0,development,MEL-103,MEL-103-B,B,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,0.632,0.732,0.838,63,8199e83a2a3d3b23f5b0f25c8667f2b43dc393c26e73ad1fd5f25e213953a6f8,data/v3/source_text/MEL-103-B.txt,data/v3/ground_truth/MEL-103-B.json,output/v3/pdf/ocr_degraded/MEL-103-B.pdf,output/v3/rendered/ocr_degraded/MEL-103-B.png,4435c3e88e6db8b6b04291a0cfdd31adb51c354ec098c372b789d25c3c5c397e,f165d5c2c1884e53511b01deb604514080db5f720fa33758db957b63c9d9bc97
pilot-v3,3.0.0,formal,MEL-104,MEL-104-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,7ef78544e25eb7fb7b648a8b27929a46ebdc639e41574969b9dbdb98ea64c20e,data/v3/source_text/MEL-104-A.txt,data/v3/ground_truth/MEL-104-A.json,output/v3/pdf/clean/MEL-104-A.pdf,output/v3/rendered/clean/MEL-104-A.png,5bc267519bcb250d6c0e6591e418bc080037164dbaf8716d0b30f8215a4c843d,83543fe163c41d8d3f7ab2e4d52af9e9b38a7fb9fddcbea742516b9cd2c8bf7b
pilot-v3,3.0.0,formal,MEL-104,MEL-104-A,A,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,0.644,0.674,0.861,69,7ef78544e25eb7fb7b648a8b27929a46ebdc639e41574969b9dbdb98ea64c20e,data/v3/source_text/MEL-104-A.txt,data/v3/ground_truth/MEL-104-A.json,output/v3/pdf/ocr_degraded/MEL-104-A.pdf,output/v3/rendered/ocr_degraded/MEL-104-A.png,8970d1ef8d1d864542a317ce49d81f5029d427fe0f645c3cc8adc46675a6ffdd,e75ca0796ad6691b524a922248610ddfc5fe1e537206368b6b72a5dd825581c9
pilot-v3,3.0.0,formal,MEL-104,MEL-104-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,7ef78544e25eb7fb7b648a8b27929a46ebdc639e41574969b9dbdb98ea64c20e,data/v3/source_text/MEL-104-B.txt,data/v3/ground_truth/MEL-104-B.json,output/v3/pdf/clean/MEL-104-B.pdf,output/v3/rendered/clean/MEL-104-B.png,b8d03647a0dc6ad3c92afe91c9a44e2dd719410776520b8b74f99ed9e2897c5a,f99377e51ffc289ca3e62fdc0b8a9e29b1518bbbf76e4ae8ad7ca9ec43b9f43b
pilot-v3,3.0.0,formal,MEL-104,MEL-104-B,B,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,0.466,0.597,0.84,62,7ef78544e25eb7fb7b648a8b27929a46ebdc639e41574969b9dbdb98ea64c20e,data/v3/source_text/MEL-104-B.txt,data/v3/ground_truth/MEL-104-B.json,output/v3/pdf/ocr_degraded/MEL-104-B.pdf,output/v3/rendered/ocr_degraded/MEL-104-B.png,275a596a00e4681c8fafada155558535cd74040dbd1acac246e3053ce4524f2e,6adb6c76774c9964df99c7ad9134b5c2aef9c79bcf417188d5c854644177d16f
pilot-v3,3.0.0,formal,MEL-105,MEL-105-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,d441ae8dc7f8cb3829987e1bc12cb1511faf4970b65f72f668a41ac82c53c58a,data/v3/source_text/MEL-105-A.txt,data/v3/ground_truth/MEL-105-A.json,output/v3/pdf/clean/MEL-105-A.pdf,output/v3/rendered/clean/MEL-105-A.png,b0d1dd6c6be60e3750e9c64c77999076ac542d6d3e9c1ae4ef3126a9ef89ee89,3ce35a3a319ffb79b8baeb48593cdc5764fe26215a1e5a9ca093d2e2210dc0b3
pilot-v3,3.0.0,formal,MEL-105,MEL-105-A,A,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,-0.457,0.563,0.874,70,d441ae8dc7f8cb3829987e1bc12cb1511faf4970b65f72f668a41ac82c53c58a,data/v3/source_text/MEL-105-A.txt,data/v3/ground_truth/MEL-105-A.json,output/v3/pdf/ocr_degraded/MEL-105-A.pdf,output/v3/rendered/ocr_degraded/MEL-105-A.png,3500b905233e69b8c3e2b3828ef6cb1306708aea0be1870d671f9d7cac845918,26290e00fa9b3eb7994aa87aaace67f899b7ddbbc8befce39578e59c94765998
pilot-v3,3.0.0,formal,MEL-105,MEL-105-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,d441ae8dc7f8cb3829987e1bc12cb1511faf4970b65f72f668a41ac82c53c58a,data/v3/source_text/MEL-105-B.txt,data/v3/ground_truth/MEL-105-B.json,output/v3/pdf/clean/MEL-105-B.pdf,output/v3/rendered/clean/MEL-105-B.png,d537578a60c69712ea098f26e5d160e872b14a58260002b476f1a98e7316e25a,5b60f8070d70f93046da437794629a31e19c519081c991a409cba2cbf55b2459
pilot-v3,3.0.0,formal,MEL-105,MEL-105-B,B,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,0.506,0.588,0.846,60,d441ae8dc7f8cb3829987e1bc12cb1511faf4970b65f72f668a41ac82c53c58a,data/v3/source_text/MEL-105-B.txt,data/v3/ground_truth/MEL-105-B.json,output/v3/pdf/ocr_degraded/MEL-105-B.pdf,output/v3/rendered/ocr_degraded/MEL-105-B.png,8b34b3028e1bb5b45c070ffaeb2aaf3284ea876b9c0e08e65e17a6f3cfe59919,c4ebd078012ef9c105b78323a55856afcf20d1b9d8aa1eefe78ab59ece356b94
pilot-v3,3.0.0,formal,MEL-106,MEL-106-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,6e9e0a6f25b621cf24ede61be3888f9971f1f709b7e70221caab5d0deb8d05ba,data/v3/source_text/MEL-106-A.txt,data/v3/ground_truth/MEL-106-A.json,output/v3/pdf/clean/MEL-106-A.pdf,output/v3/rendered/clean/MEL-106-A.png,a9022f28b09b016395343b9dee346b56089cf7be834d21870f779bd361c89268,347944ecb0b5c08bdf821df8ce565419e3d061efc5e79040f338261e0e11c643
pilot-v3,3.0.0,formal,MEL-106,MEL-106-A,A,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,-0.618,0.744,0.876,58,6e9e0a6f25b621cf24ede61be3888f9971f1f709b7e70221caab5d0deb8d05ba,data/v3/source_text/MEL-106-A.txt,data/v3/ground_truth/MEL-106-A.json,output/v3/pdf/ocr_degraded/MEL-106-A.pdf,output/v3/rendered/ocr_degraded/MEL-106-A.png,d83218e87d55e3998c23812f5e5b1b743d9f646ed432bd06c0f0846d1b4afbd9,6a9289fa0d7c13934b542272ce034a3a375ae0ca88bf6354c118d30abcd48c39
pilot-v3,3.0.0,formal,MEL-106,MEL-106-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,6e9e0a6f25b621cf24ede61be3888f9971f1f709b7e70221caab5d0deb8d05ba,data/v3/source_text/MEL-106-B.txt,data/v3/ground_truth/MEL-106-B.json,output/v3/pdf/clean/MEL-106-B.pdf,output/v3/rendered/clean/MEL-106-B.png,0af09804dbc3161d28dd711b5bad3cdafb7e480c5d91b7caa52fd26a7d394c82,4c762558f9e47887a796624a932787ba1e104866afad2c2ab891e87955b0480c
pilot-v3,3.0.0,formal,MEL-106,MEL-106-B,B,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,0.462,0.635,0.836,69,6e9e0a6f25b621cf24ede61be3888f9971f1f709b7e70221caab5d0deb8d05ba,data/v3/source_text/MEL-106-B.txt,data/v3/ground_truth/MEL-106-B.json,output/v3/pdf/ocr_degraded/MEL-106-B.pdf,output/v3/rendered/ocr_degraded/MEL-106-B.png,8130116a9f492f589d8450de9311ec560c12588c0c572e64a03bb49179a0f2ce,7a97a5c1cdffba58cdaa3d4b40baf7a2e7ce49a260f2de8417067491637126b3
pilot-v3,3.0.0,formal,MEL-107,MEL-107-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,5fad4ebe409d955cdb098eedb2a7510edd4fba5e43c6e7001c37f3bc438187bd,data/v3/source_text/MEL-107-A.txt,data/v3/ground_truth/MEL-107-A.json,output/v3/pdf/clean/MEL-107-A.pdf,output/v3/rendered/clean/MEL-107-A.png,23f996830c54d196485f764b9126056f27f83cc07b6a9d418e9d3676c30896cd,74e5d8f9a85683994b2d120cce99bb703c9df390bd11752822b50cf00e062cc9
