model_id,semantic_case_id,document_id,template_id,condition,review_status,parse_valid,schema_valid,document_id_correct,mismatched_fields,unsupported_fields,source_ambiguity,adjudication,reviewer,review_date
google/medgemma-4b-it,MEL-001,MEL-001-A,A,clean,pending,,,,,,,,,
google/medgemma-4b-it,MEL-001,MEL-001-A,A,ocr_degraded,pending,,,,,,,,,
google/medgemma-4b-it,MEL-001,MEL-001-B,B,clean,pending,,,,,,,,,
google/medgemma-4b-it,MEL-001,MEL-001-B,B,ocr_degraded,pending,,,,,,,,,
google/medgemma-4b-it,MEL-002,MEL-002-A,A,clean,pending,,,,,,,,,
google/medgemma-4b-it,MEL-002,MEL-002-A,A,ocr_degraded,pending,,,,,,,,,
google/medgemma-4b-it,MEL-002,MEL-002-B,B,clean,pending,,,,,,,,,
google/medgemma-4b-it,MEL-002,MEL-002-B,B,ocr_degraded,pending,,,,,,,,,
google/medgemma-4b-it,MEL-003,MEL-003-A,A,clean,pending,,,,,,,,,
google/medgemma-4b-it,MEL-003,MEL-003-A,A,ocr_degraded,pending,,,,,,,,,
google/medgemma-4b-it,MEL-003,MEL-003-B,B,clean,pending,,,,,,,,,
google/medgemma-4b-it,MEL-003,MEL-003-B,B,ocr_degraded,pending,,,,,,,,,
google/medgemma-4b-it,MEL-004,MEL-004-A,A,clean,pending,,,,,,,,,
google/medgemma-4b-it,MEL-004,MEL-004-A,A,ocr_degraded,pending,,,,,,,,,
google/medgemma-4b-it,MEL-004,MEL-004-B,B,clean,pending,,,,,,,,,
google/medgemma-4b-it,MEL-004,MEL-004-B,B,ocr_degraded,pending,,,,,,,,,
google/medgemma-4b-it,MEL-005,MEL-005-A,A,clean,pending,,,,,,,,,
google/medgemma-4b-it,MEL-005,MEL-005-A,A,ocr_degraded,pending,,,,,,,,,
google/medgemma-4b-it,MEL-005,MEL-005-B,B,clean,pending,,,,,,,,,
google/medgemma-4b-it,MEL-005,MEL-005-B,B,ocr_degraded,pending,,,,,,,,,
google/medgemma-4b-it,MEL-006,MEL-006-A,A,clean,pending,,,,,,,,,
google/medgemma-4b-it,MEL-006,MEL-006-A,A,ocr_degraded,pending,,,,,,,,,
google/medgemma-4b-it,MEL-006,MEL-006-B,B,clean,pending,,,,,,,,,
google/medgemma-4b-it,MEL-006,MEL-006-B,B,ocr_degraded,pending,,,,,,,,,
google/medgemma-4b-it,MEL-007,MEL-007-A,A,clean,pending,,,,,,,,,
google/medgemma-4b-it,MEL-007,MEL-007-A,A,ocr_degraded,pending,,,,,,,,,
google/medgemma-4b-it,MEL-007,MEL-007-B,B,clean,pending,,,,,,,,,
google/medgemma-4b-it,MEL-007,MEL-007-B,B,ocr_degraded,pending,,,,,,,,,
google/medgemma-4b-it,MEL-008,MEL-008-A,A,clean,pending,,,,,,,,,
google/medgemma-4b-it,MEL-008,MEL-008-A,A,ocr_degraded,pending,,,,,,,,,
google/medgemma-4b-it,MEL-008,MEL-008-B,B,clean,pending,,,,,,,,,
google/medgemma-4b-it,MEL-008,MEL-008-B,B,ocr_degraded,pending,,,,,,,,,
google/medgemma-1.5-4b-it,MEL-001,MEL-001-A,A,clean,pending,,,,,,,,,
google/medgemma-1.5-4b-it,MEL-001,MEL-001-A,A,ocr_degraded,pending,,,,,,,,,
google/medgemma-1.5-4b-it,MEL-001,MEL-001-B,B,clean,pending,,,,,,,,,
google/medgemma-1.5-4b-it,MEL-001,MEL-001-B,B,ocr_degraded,pending,,,,,,,,,
google/medgemma-1.5-4b-it,MEL-002,MEL-002-A,A,clean,pending,,,,,,,,,
google/medgemma-1.5-4b-it,MEL-002,MEL-002-A,A,ocr_degraded,pending,,,,,,,,,
google/medgemma-1.5-4b-it,MEL-002,MEL-002-B,B,clean,pending,,,,,,,,,
google/medgemma-1.5-4b-it,MEL-002,MEL-002-B,B,ocr_degraded,pending,,,,,,,,,
google/medgemma-1.5-4b-it,MEL-003,MEL-003-A,A,clean,pending,,,,,,,,,
google/medgemma-1.5-4b-it,MEL-003,MEL-003-A,A,ocr_degraded,pending,,,,,,,,,
google/medgemma-1.5-4b-it,MEL-003,MEL-003-B,B,clean,pending,,,,,,,,,
