dataset_version,generator_version,split,case_origin,semantic_case_id,document_id,template_id,layout_scope,condition,perturbation_id,dpi,renderer,rotation_degrees,blur_radius,contrast_factor,jpeg_quality,source_row_sha256,source_text_path,ground_truth_path,pdf_path,image_path,pdf_sha256,image_sha256
pilot-v5,5.0.0,development,fresh-v5,MEL-190,MEL-190-A,A,known_fixed_layout_family,clean,none,160,pypdfium2-5.12.1,0,0,1,,1aa67cc0c24dd7905c720715468e39587f62bb71f7d870dfbf0b2b6b16aceca8,data/v5/source_text/MEL-190-A.txt,data/v5/ground_truth/MEL-190-A.json,output/v5/pdf/clean/MEL-190-A.pdf,output/v5/rendered/clean/MEL-190-A.png,e015cd60bade5ec93aa3212414c778db56471c0bd93cacb6f314156e22386eb3,f9b103fb68aebd3189336a0f8c83a1ee6f0e193b77069657d728bfc82c0ba7ed
pilot-v5,5.0.0,development,fresh-v5,MEL-190,MEL-190-A,A,known_fixed_layout_family,ocr_degraded,scan-v5,160,pypdfium2-5.12.1,-0.462,0.848,0.823,60,1aa67cc0c24dd7905c720715468e39587f62bb71f7d870dfbf0b2b6b16aceca8,data/v5/source_text/MEL-190-A.txt,data/v5/ground_truth/MEL-190-A.json,output/v5/pdf/ocr_degraded/MEL-190-A.pdf,output/v5/rendered/ocr_degraded/MEL-190-A.png,22b75483cea5210b18e994af2c1af573df82965ef78b08c1f3326f958fd7b945,43f490e3c54d7f5c424c7adb79c05451d93e4d5cfba94adac854f3057fbb1915
pilot-v5,5.0.0,development,fresh-v5,MEL-190,MEL-190-B,B,known_fixed_layout_family,clean,none,160,pypdfium2-5.12.1,0,0,1,,1aa67cc0c24dd7905c720715468e39587f62bb71f7d870dfbf0b2b6b16aceca8,data/v5/source_text/MEL-190-B.txt,data/v5/ground_truth/MEL-190-B.json,output/v5/pdf/clean/MEL-190-B.pdf,output/v5/rendered/clean/MEL-190-B.png,112429ad843e98ba800805bbe46a03f0915024854902d2c3135c22ecf8840326,2d358fa71aac4a0fad14e0269febc8ca684bf1174253a810af641573f7d80935
pilot-v5,5.0.0,development,fresh-v5,MEL-190,MEL-190-B,B,known_fixed_layout_family,ocr_degraded,scan-v5,160,pypdfium2-5.12.1,0.619,0.612,0.889,62,1aa67cc0c24dd7905c720715468e39587f62bb71f7d870dfbf0b2b6b16aceca8,data/v5/source_text/MEL-190-B.txt,data/v5/ground_truth/MEL-190-B.json,output/v5/pdf/ocr_degraded/MEL-190-B.pdf,output/v5/rendered/ocr_degraded/MEL-190-B.png,99d2e4b691ef4ce08b1d1db24e31953fef176f79f3764eb99637f1047feb5a71,58130436563f94df34c63269a7024e625def3cba58a2a0e290bb96e0f12c2e6f
pilot-v5,5.0.0,formal,fresh-v5,MEL-201,MEL-201-A,A,known_fixed_layout_family,clean,none,160,pypdfium2-5.12.1,0,0,1,,cc8401ae0502f9271ce6797b7c41d21ef31ef538fc48c08242762a25baef910d,data/v5/source_text/MEL-201-A.txt,data/v5/ground_truth/MEL-201-A.json,output/v5/pdf/clean/MEL-201-A.pdf,output/v5/rendered/clean/MEL-201-A.png,b9e7c38e2a406e2d8a0d5df74efd6f39f0d8361e8cbeb6cbfcdfe9d4ad97c84c,aa7b094efa102956341802241d477e5f32a87c911b4c09985be3483a3b548567
pilot-v5,5.0.0,formal,fresh-v5,MEL-201,MEL-201-A,A,known_fixed_layout_family,ocr_degraded,scan-v5,160,pypdfium2-5.12.1,0.596,0.821,0.865,63,cc8401ae0502f9271ce6797b7c41d21ef31ef538fc48c08242762a25baef910d,data/v5/source_text/MEL-201-A.txt,data/v5/ground_truth/MEL-201-A.json,output/v5/pdf/ocr_degraded/MEL-201-A.pdf,output/v5/rendered/ocr_degraded/MEL-201-A.png,e79fe7921c7f1639d52e64506ee0eedcbd23dc2f50fb9b14c37b8d300ad30a66,2462d72c801417869e49e2903b9b43210d5a39574e7e0d7545911fe20b627caa
pilot-v5,5.0.0,formal,fresh-v5,MEL-201,MEL-201-B,B,known_fixed_layout_family,clean,none,160,pypdfium2-5.12.1,0,0,1,,cc8401ae0502f9271ce6797b7c41d21ef31ef538fc48c08242762a25baef910d,data/v5/source_text/MEL-201-B.txt,data/v5/ground_truth/MEL-201-B.json,output/v5/pdf/clean/MEL-201-B.pdf,output/v5/rendered/clean/MEL-201-B.png,5af99f3bbcbc12f48a142096b4d4ddb635d0265bbca331f9c94b9373493e1046,aa5d26b7086c81d75c4798ee18e614cb6ac361cddcd65663f11082f50c886abf
pilot-v5,5.0.0,formal,fresh-v5,MEL-201,MEL-201-B,B,known_fixed_layout_family,ocr_degraded,scan-v5,160,pypdfium2-5.12.1,-0.614,0.719,0.866,62,cc8401ae0502f9271ce6797b7c41d21ef31ef538fc48c08242762a25baef910d,data/v5/source_text/MEL-201-B.txt,data/v5/ground_truth/MEL-201-B.json,output/v5/pdf/ocr_degraded/MEL-201-B.pdf,output/v5/rendered/ocr_degraded/MEL-201-B.png,1f98a0a66f0c20051655336542f934a20da50d31cbb60ccec673f0b4b52400d6,0956f1aca7ea7bc0c546ed2b9e7bb9064ea503d2ab0e7c4bf1a1fc8a8fcb695b
pilot-v5,5.0.0,formal,fresh-v5,MEL-202,MEL-202-A,A,known_fixed_layout_family,clean,none,160,pypdfium2-5.12.1,0,0,1,,9eae48cb842b6215a2fa3b146e40c4953d59ba1eb202d2c88e2fed7f0b93efea,data/v5/source_text/MEL-202-A.txt,data/v5/ground_truth/MEL-202-A.json,output/v5/pdf/clean/MEL-202-A.pdf,output/v5/rendered/clean/MEL-202-A.png,fa83df81e8c1c3d846d68f0c9628f69da562616fa3fb5e066c9dfcf9f9a6b037,cca8d17701658a654bf7a38082daa911a4973e418bb2578be02e6c1a3288689d
pilot-v5,5.0.0,formal,fresh-v5,MEL-202,MEL-202-A,A,known_fixed_layout_family,ocr_degraded,scan-v5,160,pypdfium2-5.12.1,0.414,0.805,0.889,64,9eae48cb842b6215a2fa3b146e40c4953d59ba1eb202d2c88e2fed7f0b93efea,data/v5/source_text/MEL-202-A.txt,data/v5/ground_truth/MEL-202-A.json,output/v5/pdf/ocr_degraded/MEL-202-A.pdf,output/v5/rendered/ocr_degraded/MEL-202-A.png,a3066f37f3ad2cb8a168f1474b56f0f9355e5f94a29cb72e79bbadb77e0d7eca,8da1ef031371d0545004f8d65c9b3f79e791a46ce18ad590907cbbd7519d9139
