dataset_version,generator_version,semantic_case_id,document_id,template_id,condition,perturbation_id,dpi,renderer,rotation_degrees,blur_radius,contrast_factor,jpeg_quality,source_row_sha256,source_text_path,ground_truth_path,pdf_path,image_path,pdf_sha256,image_sha256
pilot-v1,1.0.0,MEL-001,MEL-001-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,907e6f03cb407c1f20a22ab48465eecc51d4868d082c6e835d407cb1a0ce4ebf,data/source_text/MEL-001-A.txt,data/ground_truth/MEL-001-A.json,output/pdf/clean/MEL-001-A.pdf,output/rendered/clean/MEL-001-A.png,57b92c65c6e5c8831df0135b445b16bd2b9a043738d0cde8289f2321b07210f2,5e92645853ad3a2f62b5dbd91de91a79dcd8ff651d50c2d453e7900a5f85e3b2
pilot-v1,1.0.0,MEL-001,MEL-001-A,A,ocr_degraded,scan-v1,160,pypdfium2-5.12.1,-0.401,0.634,0.894,66,907e6f03cb407c1f20a22ab48465eecc51d4868d082c6e835d407cb1a0ce4ebf,data/source_text/MEL-001-A.txt,data/ground_truth/MEL-001-A.json,output/pdf/ocr_degraded/MEL-001-A.pdf,output/rendered/ocr_degraded/MEL-001-A.png,f24845965845d5c93bec7b7c385ae8089b163a71166cad092645a0e9919e2b68,2291296f9710aed78796252c7d73f4c080ffd2e1361944fdb2f0dc9ab440d00d
pilot-v1,1.0.0,MEL-001,MEL-001-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,907e6f03cb407c1f20a22ab48465eecc51d4868d082c6e835d407cb1a0ce4ebf,data/source_text/MEL-001-B.txt,data/ground_truth/MEL-001-B.json,output/pdf/clean/MEL-001-B.pdf,output/rendered/clean/MEL-001-B.png,61cb0a8cbe76e1e70a178133b4518bf989da700d60469dd0162e5c0fba9aa644,c3b985eba50622150f685fe11672094e71098a0a460ec1f92d97cb943721dc99
pilot-v1,1.0.0,MEL-001,MEL-001-B,B,ocr_degraded,scan-v1,160,pypdfium2-5.12.1,0.417,0.722,0.85,67,907e6f03cb407c1f20a22ab48465eecc51d4868d082c6e835d407cb1a0ce4ebf,data/source_text/MEL-001-B.txt,data/ground_truth/MEL-001-B.json,output/pdf/ocr_degraded/MEL-001-B.pdf,output/rendered/ocr_degraded/MEL-001-B.png,640caa160c0431bcf1d954e920b3221080b66d5588f5aed8835fcaaf307c818e,66d8b4126fc73c9a11eb28a65d8519038d214016555c93f62f9d897d4fff8fa7
pilot-v1,1.0.0,MEL-002,MEL-002-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,26de06f03eacf3bb80a94984f849d5d2eca491eb602797963d8685d1e4d61262,data/source_text/MEL-002-A.txt,data/ground_truth/MEL-002-A.json,output/pdf/clean/MEL-002-A.pdf,output/rendered/clean/MEL-002-A.png,124e014ab2f8926e824bd67533fc07b22a8a937bbf5d278853ff3dbad75e7014,175cff9f7b223a5386ce6695c11cf17aae09bbe3ebd59d862660e1f89d4220ca
pilot-v1,1.0.0,MEL-002,MEL-002-A,A,ocr_degraded,scan-v1,160,pypdfium2-5.12.1,0.444,0.551,0.844,58,26de06f03eacf3bb80a94984f849d5d2eca491eb602797963d8685d1e4d61262,data/source_text/MEL-002-A.txt,data/ground_truth/MEL-002-A.json,output/pdf/ocr_degraded/MEL-002-A.pdf,output/rendered/ocr_degraded/MEL-002-A.png,65483b63da42e0fcf50d63cd0dc2df30364439b726753f77242c64c8d7762afc,085699073a3a17e2710bac5bab0e08fcdc32295ab456d69fd1682bb2df4de932
pilot-v1,1.0.0,MEL-002,MEL-002-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,26de06f03eacf3bb80a94984f849d5d2eca491eb602797963d8685d1e4d61262,data/source_text/MEL-002-B.txt,data/ground_truth/MEL-002-B.json,output/pdf/clean/MEL-002-B.pdf,output/rendered/clean/MEL-002-B.png,f7c4238c9c4f6e6bf4961e404751667753fa695f575d6e2280ed308a09d80ba1,543adf6fa53eb26e4a80ae838cacdc836721c9042766bbc29e71a2db87069782
pilot-v1,1.0.0,MEL-002,MEL-002-B,B,ocr_degraded,scan-v1,160,pypdfium2-5.12.1,0.424,0.715,0.841,70,26de06f03eacf3bb80a94984f849d5d2eca491eb602797963d8685d1e4d61262,data/source_text/MEL-002-B.txt,data/ground_truth/MEL-002-B.json,output/pdf/ocr_degraded/MEL-002-B.pdf,output/rendered/ocr_degraded/MEL-002-B.png,db14224f3923a10067ad61dfebe6ecc268938fab5b21a9d047101dc92eae46d0,6dfad5f8abb1004491ae5fe0783e1c7d6c024f9f975f51dcf924c4d6a580a33f
pilot-v1,1.0.0,MEL-003,MEL-003-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,e340f895990129ed077d1273227106ae937ef133ab90e23a7720e3998956ee60,data/source_text/MEL-003-A.txt,data/ground_truth/MEL-003-A.json,output/pdf/clean/MEL-003-A.pdf,output/rendered/clean/MEL-003-A.png,3682204b416879703b22b8564efba35d9185b327eea472aadd95c6881cd677e4,58f7012142435c94ccb04f204dcb9371b2ba8013fa8d17dcb93d429471578b1a
pilot-v1,1.0.0,MEL-003,MEL-003-A,A,ocr_degraded,scan-v1,160,pypdfium2-5.12.1,-0.555,0.638,0.86,66,e340f895990129ed077d1273227106ae937ef133ab90e23a7720e3998956ee60,data/source_text/MEL-003-A.txt,data/ground_truth/MEL-003-A.json,output/pdf/ocr_degraded/MEL-003-A.pdf,output/rendered/ocr_degraded/MEL-003-A.png,637593264c1f7061539991abc273fa3d37ef4253a4428350a656e7d61836208e,3dd733b2fc34cf53c41459d7c35ff137c638b927fc72378369b35987e3da6b3a
